readID	cluster
c22b0e4d-d5f7-45db-96dc-ae2e46248e2a	-1	1
1a91bbd8-08a4-4b67-9f08-36b760c4fb08	-1	2
1ca6d93d-4a00-4024-9768-4c71c4ba43a8	-1	0
c87409f3-7200-43eb-a045-721f62fdb97d	-1	2
62428c75-fc1c-41ad-a2b8-7a665227b7c1	-1	2
cb957840-9eab-4204-bfea-55328302a96f	-1	2
1ed9b5ca-03c0-4a28-805a-516024d770b4	-1	2
3660d7c9-12e3-4964-bcf9-17409f908a06	-1	2
637fa8cc-35f0-41f9-ac9b-c6893a1a53bb	-1	0
31d9508c-5e91-4aff-a2eb-2be0e9360cef	-1	1
ea0b41a1-1a60-4411-be9f-01f82fb7eb6c	-1	1
d8a79886-43a1-4ba8-afb8-1b785b0d43e1	-1	2
60ea439c-a001-4d2f-bf4d-a61936ec391e	-1	1
c749f0f6-7af4-4aa3-8947-cf13b3096251	-1	0
d994cc9e-ddbf-4445-b5a8-f7ba5ba24c95	-1	2
bc6ad7c0-34f2-46e2-bc16-950ca3dc42e7	-1	2
6750f7ff-232e-4f93-a325-e1c732b015a1	-1	1
f3851287-da21-4d3a-8412-4eeeb837977d	-1	1
9f49eec1-6477-436b-b258-e59cd3027623	-1	1
cb52cb95-f5e4-4f15-be1a-aa93f7f80dd0	1	2
04adb81d-a602-44eb-a4c1-ab3308fff401	1	1
5efe244d-f0e8-4d5d-a795-bdb90dc93647	1	1
f3c2d464-6808-40e9-a4ab-aa7d2cb71d41	1	1
5c6bca55-e254-492b-8011-9ed0bba1abea	1	1
6c41591e-6437-4239-9fb2-c858e9bb1af9	1	1
c09ba610-bed7-44f7-8b51-201e43084b4c	1	2
1df6b859-227e-47c2-990d-2292a7d7e27c	1	1
f81df8cb-02ab-4227-87d7-b9e913ce23cf	1	1
b4e4b8eb-5f4c-471f-8d43-0c2b6ed0a2a3	1	1
975ad007-ba22-4abc-927e-9d78989e272d	1	0
8d12f134-7412-4097-a854-ec1d46cce19e	1	1
c7fa6cde-a09a-42df-bde0-efd1706baee2	1	1
36159afd-bb24-4f91-a5c6-2c9689a59418	1	1
06d79676-9643-4bdc-8a99-4331f3c3b31b	1	1
4f0f6f4e-a7b0-4022-a089-9189327bc178	1	1
15495a5c-e6ed-4ff4-802f-7809fcf72238	1	1
d2e9a0fe-9100-4baa-b9a3-81cc78130e43	1	1
bc233af3-b1c9-42a9-aa3c-dffca39263f2	1	1
