readID	cluster
908f9524-d405-46ca-a596-c4e613de196f	1	0
b8c85d5f-6412-4d19-a35e-5968d666ea4b	1	0
c661c150-cfe9-4051-9e7a-0fdafd3c6648	1	0
7e999093-192e-402a-9d6c-7897fbe59a58	1	0
c6860b25-f09f-4414-a55b-760d2fddfffb	1	1
7adc3f78-586b-4067-b5db-8bf8d7f02868	1	0
de476561-751c-4603-aaf7-d4037d67f726	1	1
c5460595-0bce-414a-98d6-42b2bf903484	1	0
9887e5e6-46d2-4e52-8d76-7a618fbf342c	1	0
e4534fe0-d4e4-4f8c-85a3-46beaa3d15d2	1	0
58775390-7cd5-4f7a-8dd8-be6eea55fe66	1	0
bf7155c3-8aac-4bc3-8a52-83366d8e8c0a	1	1
ee9e522c-261e-4969-976d-df0e673f1b57	1	1
2d9a84fa-9edd-4169-b648-251c9db01d22	1	0
7a1a45f1-883f-4189-8753-5dfaf16c3d7d	1	0
de2f7362-3c80-4296-89f2-5c69aabdb960	1	0
7f020f62-eea0-4756-9d9a-fe0ae8d69745	1	0
4f33e983-5ff1-4ff6-840d-495acf23c59b	1	0
9c7afc39-baa2-4eb6-a590-5a5d7bebba2e	1	0
c4753c1f-c54e-48e8-887c-73022dfb2ae6	1	1
fd01e490-64f1-4525-8d32-5725df99e652	1	1
3eb250bc-16d0-494a-98ef-483a6ba0aefb	1	1
4d57f7d1-7878-4ecb-abab-14aa9bbcb0c2	1	0
5e4b2cc8-9df7-49ca-8385-dfd53f8f5182	1	1
