readID	cluster
c22b0e4d-d5f7-45db-96dc-ae2e46248e2a	-1	0
1a91bbd8-08a4-4b67-9f08-36b760c4fb08	-1	1
1ca6d93d-4a00-4024-9768-4c71c4ba43a8	-1	1
c87409f3-7200-43eb-a045-721f62fdb97d	-1	0
62428c75-fc1c-41ad-a2b8-7a665227b7c1	-1	0
cb957840-9eab-4204-bfea-55328302a96f	-1	1
1ed9b5ca-03c0-4a28-805a-516024d770b4	-1	1
3660d7c9-12e3-4964-bcf9-17409f908a06	-1	1
637fa8cc-35f0-41f9-ac9b-c6893a1a53bb	-1	1
31d9508c-5e91-4aff-a2eb-2be0e9360cef	-1	0
ea0b41a1-1a60-4411-be9f-01f82fb7eb6c	-1	0
d8a79886-43a1-4ba8-afb8-1b785b0d43e1	-1	1
60ea439c-a001-4d2f-bf4d-a61936ec391e	-1	0
c749f0f6-7af4-4aa3-8947-cf13b3096251	-1	1
d994cc9e-ddbf-4445-b5a8-f7ba5ba24c95	-1	1
bc6ad7c0-34f2-46e2-bc16-950ca3dc42e7	-1	1
6750f7ff-232e-4f93-a325-e1c732b015a1	-1	0
f3851287-da21-4d3a-8412-4eeeb837977d	-1	0
9f49eec1-6477-436b-b258-e59cd3027623	-1	0
