readID	cluster
cb52cb95-f5e4-4f15-be1a-aa93f7f80dd0	1	0
04adb81d-a602-44eb-a4c1-ab3308fff401	1	0
5efe244d-f0e8-4d5d-a795-bdb90dc93647	1	0
f3c2d464-6808-40e9-a4ab-aa7d2cb71d41	1	0
5c6bca55-e254-492b-8011-9ed0bba1abea	1	0
6c41591e-6437-4239-9fb2-c858e9bb1af9	1	0
c09ba610-bed7-44f7-8b51-201e43084b4c	1	1
1df6b859-227e-47c2-990d-2292a7d7e27c	1	0
f81df8cb-02ab-4227-87d7-b9e913ce23cf	1	0
b4e4b8eb-5f4c-471f-8d43-0c2b6ed0a2a3	1	0
975ad007-ba22-4abc-927e-9d78989e272d	1	1
8d12f134-7412-4097-a854-ec1d46cce19e	1	0
c7fa6cde-a09a-42df-bde0-efd1706baee2	1	0
36159afd-bb24-4f91-a5c6-2c9689a59418	1	0
06d79676-9643-4bdc-8a99-4331f3c3b31b	1	0
4f0f6f4e-a7b0-4022-a089-9189327bc178	1	0
15495a5c-e6ed-4ff4-802f-7809fcf72238	1	0
d2e9a0fe-9100-4baa-b9a3-81cc78130e43	1	0
bc233af3-b1c9-42a9-aa3c-dffca39263f2	1	0
