Device type:  cuda
Predicting on region:  chrVI:114000-116000
Start parsing bam file to get reads aligned to the region......
done with bam file.
Start parsing eventalign file to map signals to the list......
10.0  M lines have passed.
20.0  M lines have passed.
30.0  M lines have passed.
40.0  M lines have passed.
50.0  M lines have passed.
60.0  M lines have passed.
70.0  M lines have passed.
80.0  M lines have passed.
90.0  M lines have passed.
100.0  M lines have passed.
110.0  M lines have passed.
120.0  M lines have passed.
130.0  M lines have passed.
140.0  M lines have passed.
150.0  M lines have passed.
160.0  M lines have passed.
170.0  M lines have passed.
180.0  M lines have passed.
190.0  M lines have passed.
200.0  M lines have passed.
210.0  M lines have passed.
220.0  M lines have passed.
230.0  M lines have passed.
240.0  M lines have passed.
250.0  M lines have passed.
260.0  M lines have passed.
270.0  M lines have passed.
280.0  M lines have passed.
290.0  M lines have passed.
300.0  M lines have passed.
310.0  M lines have passed.
320.0  M lines have passed.
330.0  M lines have passed.
340.0  M lines have passed.
50  reads left in readname list
49  reads left in readname list
48  reads left in readname list
47  reads left in readname list
46  reads left in readname list
45  reads left in readname list
44  reads left in readname list
43  reads left in readname list
42  reads left in readname list
41  reads left in readname list
40  reads left in readname list
39  reads left in readname list
38  reads left in readname list
37  reads left in readname list
36  reads left in readname list
35  reads left in readname list
34  reads left in readname list
33  reads left in readname list
32  reads left in readname list
31  reads left in readname list
30  reads left in readname list
29  reads left in readname list
28  reads left in readname list
27  reads left in readname list
26  reads left in readname list
25  reads left in readname list
24  reads left in readname list
23  reads left in readname list
22  reads left in readname list
21  reads left in readname list
20  reads left in readname list
19  reads left in readname list
18  reads left in readname list
17  reads left in readname list
16  reads left in readname list
15  reads left in readname list
14  reads left in readname list
13  reads left in readname list
12  reads left in readname list
11  reads left in readname list
10  reads left in readname list
9  reads left in readname list
8  reads left in readname list
7  reads left in readname list
6  reads left in readname list
5  reads left in readname list
4  reads left in readname list
3  reads left in readname list
350.0  M lines have passed.
360.0  M lines have passed.
370.0  M lines have passed.
380.0  M lines have passed.
390.0  M lines have passed.
400.0  M lines have passed.
410.0  M lines have passed.
420.0  M lines have passed.
430.0  M lines have passed.
440.0  M lines have passed.
450.0  M lines have passed.
460.0  M lines have passed.
470.0  M lines have passed.
480.0  M lines have passed.
490.0  M lines have passed.
500.0  M lines have passed.
510.0  M lines have passed.
520.0  M lines have passed.
530.0  M lines have passed.
540.0  M lines have passed.
550.0  M lines have passed.
560.0  M lines have passed.
570.0  M lines have passed.
580.0  M lines have passed.
590.0  M lines have passed.
600.0  M lines have passed.
610.0  M lines have passed.
620.0  M lines have passed.
630.0  M lines have passed.
640.0  M lines have passed.
650.0  M lines have passed.
660.0  M lines have passed.
670.0  M lines have passed.
680.0  M lines have passed.
690.0  M lines have passed.
700.0  M lines have passed.
710.0  M lines have passed.
720.0  M lines have passed.
730.0  M lines have passed.
740.0  M lines have passed.
750.0  M lines have passed.
760.0  M lines have passed.
770.0  M lines have passed.
780.0  M lines have passed.
790.0  M lines have passed.
800.0  M lines have passed.
810.0  M lines have passed.
820.0  M lines have passed.
830.0  M lines have passed.
840.0  M lines have passed.
850.0  M lines have passed.
860.0  M lines have passed.
